ID_Venda,Data_Venda,Cliente,Sexo,Idade,Produto,Categoria,Tamanho,Cor,Quantidade,Preço_Unitário,Forma_Pagamento,Estado,Cidade,Vendedor,Canal_Venda,Desconto (%),Avaliação (1-5)
110,2025-05-25,Sr. João Gabriel da Rocha,F,39,Calça Jeans Skinny,Calça,42,Vermelho,2,219.62,Cartão Crédito,SP,Santos,Renata Souza,Online,10,4
111,2025-09-22,Raul Cavalcanti,M,26,Macacão Longo,Macacão,P,Cinza,1,195.58,Pix,RJ,Niterói,Lucas Pires,Online,10,5
112,2025-05-06,Júlia da Costa,F,41,Saia Plissada,Saia,P,Bege,1,211.41,Dinheiro,BA,Vitória da Conquista,Fernanda Lima,Loja Física,10,4
113,2025-09-26,Davi Lucca da Luz,F,60,Blazer Feminino,Casaco,P,Rosa,1,88.64,Dinheiro,MG,Belo Horizonte,Renata Souza,Loja Física,20,5
114,2025-11-20,Alice da Luz,F,44,Jaqueta Jeans,Casaco,P,Branco,3,242.67,Dinheiro,RJ,Petrópolis,Fernanda Lima,Online,15,5
115,2025-05-10,Dr. Raul Farias,M,47,Blazer Feminino,Casaco,P,Bege,1,127.27,Dinheiro,BA,Salvador,Juliana Reis,Online,10,5
116,2025-06-18,Yuri Cavalcanti,F,51,Vestido Floral,Vestido,G,Branco,2,62.94,Cartão Crédito,BA,Feira de Santana,Marcos Silva,Loja Física,20,5
117,2025-09-21,Lucas das Neves,M,19,Calça Jeans Skinny,Calça,42,Bege,1,257.66,Pix,SP,São Paulo,Lucas Pires,Online,15,5
118,2025-05-15,Isabel Lima,F,26,Vestido Floral,Vestido,M,Preto,2,106.03,Cartão Crédito,MG,Belo Horizonte,Marcos Silva,Online,10,5
119,2025-12-16,Enzo Gabriel Araújo,F,27,Jaqueta Jeans,Casaco,G,Jeans,2,203.74,Pix,SP,São Paulo,Renata Souza,Online,10,3
120,2025-09-21,João Melo,M,22,Calça Jeans Skinny,Calça,38,Verde,1,61.84,Cartão Crédito,BA,Vitória da Conquista,Juliana Reis,Loja Física,20,5
121,2025-12-28,Vitor Freitas,M,29,Macacão Longo,Macacão,P,Branco,2,157.21,Cartão Crédito,RS,Caxias do Sul,Renata Souza,Online,5,3
122,2025-11-24,Maitê Nunes,M,41,Short Jeans,Calça,40,Bege,3,188.44,Dinheiro,BA,Feira de Santana,Lucas Pires,Online,0,5
123,2025-12-15,Helena Araújo,M,52,Saia Plissada,Saia,P,Preto,3,233.7,Dinheiro,MG,Belo Horizonte,Fernanda Lima,Online,0,5
124,2025-07-04,Davi Ferreira,F,20,Blazer Feminino,Casaco,G,Branco,1,65.68,Cartão Débito,BA,Salvador,Lucas Pires,Online,10,5
125,2025-02-18,Noah Pinto,F,59,Short Jeans,Calça,38,Bege,2,113.23,Dinheiro,RJ,Niterói,Marcos Silva,Loja Física,10,5
126,2025-05-11,Sra. Larissa Silva,M,51,Camisa Social,Blusa,GG,Jeans,2,134.66,Dinheiro,RJ,Niterói,Lucas Pires,Online,15,3
127,2025-12-08,Maria Julia da Mota,M,46,Macacão Longo,Macacão,P,Bege,2,130.2,Pix,SP,Campinas,Juliana Reis,Loja Física,10,5
128,2025-10-24,Thales Pinto,M,58,Saia Plissada,Saia,M,Azul,3,267.41,Cartão Crédito,MG,Contagem,Lucas Pires,Online,15,4
129,2025-03-20,Maria Alice da Paz,F,33,Jaqueta Jeans,Casaco,P,Branco,3,219.42,Dinheiro,BA,Salvador,Marcos Silva,Online,5,5
130,2025-06-05,Ana Clara Melo,M,43,Camiseta Básica,Blusa,M,Jeans,2,142.9,Dinheiro,SP,Santos,Marcos Silva,Loja Física,5,5
131,2025-12-20,Sr. Thiago Jesus,M,46,Camiseta Básica,Blusa,M,Jeans,3,146.65,Cartão Débito,RS,Porto Alegre,Renata Souza,Online,10,5
132,2025-08-21,Raul Oliveira,F,38,Blazer Feminino,Casaco,P,Preto,1,263.11,Dinheiro,BA,Salvador,Lucas Pires,Online,15,5
133,2025-10-11,Pietra Gonçalves,F,49,Jaqueta Jeans,Casaco,G,Branco,2,177.09,Cartão Crédito,SP,São Paulo,Marcos Silva,Online,5,4
134,2025-12-08,Diogo Peixoto,M,44,Short Jeans,Calça,36,Amarelo,1,66.34,Pix,BA,Vitória da Conquista,Lucas Pires,Loja Física,15,5
135,2025-12-15,Nicole da Luz,F,26,Bermuda Cargo,Calça,G,Jeans,3,179.24,Pix,RJ,Petrópolis,Renata Souza,Loja Física,20,5
136,2025-01-20,Fernanda Nunes,M,23,Short Jeans,Calça,36,Verde,1,90.39,Dinheiro,RJ,Niterói,Fernanda Lima,Online,20,3
137,2025-05-11,Heitor Gomes,M,54,Calça Jeans Skinny,Calça,36,Bege,3,92.06,Cartão Crédito,RS,Porto Alegre,Lucas Pires,Loja Física,5,3
138,2025-04-27,Valentina Martins,M,59,Macacão Longo,Macacão,M,Rosa,3,154.05,Dinheiro,SP,Campinas,Juliana Reis,Loja Física,20,5
139,2025-05-18,Laura da Rosa,M,47,Camisa Social,Blusa,G,Jeans,1,222.05,Cartão Débito,RJ,Niterói,Marcos Silva,Loja Física,15,4
140,2025-11-29,Vitória da Cunha,F,38,Saia Plissada,Saia,G,Cinza,2,82.59,Cartão Débito,MG,Contagem,Juliana Reis,Loja Física,20,4
141,2025-04-26,Gustavo Henrique Silva,F,28,Vestido Floral,Vestido,P,Preto,1,122.45,Dinheiro,BA,Vitória da Conquista,Renata Souza,Online,15,4
142,2025-05-29,Mariane Melo,F,43,Jaqueta Jeans,Casaco,M,Bege,2,174.59,Pix,MG,Uberlândia,Juliana Reis,Loja Física,0,4
143,2025-02-28,Renan Lima,F,24,Saia Plissada,Saia,P,Azul,2,173.62,Pix,BA,Feira de Santana,Fernanda Lima,Online,20,5
144,2025-09-26,Danilo Araújo,M,22,Camisa Social,Blusa,G,Azul,2,62.69,Pix,RS,Porto Alegre,Renata Souza,Online,10,5
145,2025-08-30,Lucas Cardoso,F,30,Calça Jeans Skinny,Calça,36,Branco,1,148.38,Pix,MG,Contagem,Renata Souza,Online,10,5
146,2025-03-07,Marina da Mota,F,56,Camiseta Básica,Blusa,P,Branco,3,133.16,Pix,BA,Vitória da Conquista,Fernanda Lima,Online,15,5
147,2025-01-22,Sra. Luna Nunes,M,54,Saia Plissada,Saia,P,Vermelho,3,234.73,Dinheiro,MG,Contagem,Juliana Reis,Loja Física,10,4
148,2025-07-31,Pietro Almeida,M,59,Bermuda Cargo,Calça,G,Amarelo,2,249.09,Pix,SP,Santos,Renata Souza,Loja Física,15,5
149,2025-08-06,Yago Pereira,F,20,Macacão Longo,Macacão,M,Branco,3,207.16,Pix,RS,Caxias do Sul,Lucas Pires,Loja Física,5,3
150,2025-05-03,Samuel Silveira,M,21,Saia Plissada,Saia,M,Branco,2,222.53,Cartão Débito,BA,Vitória da Conquista,Renata Souza,Loja Física,20,5
151,2025-06-20,Matheus Farias,M,59,Blazer Feminino,Casaco,G,Vermelho,2,289.07,Dinheiro,BA,Vitória da Conquista,Renata Souza,Online,10,4
152,2025-02-10,Lorenzo Cunha,M,38,Vestido Floral,Vestido,M,Bege,2,106.12,Pix,MG,Uberlândia,Marcos Silva,Online,5,4
153,2025-02-21,Natália Souza,M,20,Macacão Longo,Macacão,G,Bege,2,273.84,Dinheiro,BA,Feira de Santana,Lucas Pires,Online,5,5
154,2025-11-19,Gabrielly Pires,F,24,Calça Jeans Skinny,Calça,42,Rosa,1,256.89,Pix,MG,Contagem,Renata Souza,Loja Física,10,4
155,2025-03-10,Dra. Lara Vieira,F,26,Short Jeans,Calça,36,Rosa,1,74.95,Cartão Crédito,MG,Contagem,Renata Souza,Loja Física,15,4
156,2025-09-02,Vinicius Ribeiro,F,52,Blazer Feminino,Casaco,M,Rosa,2,130.19,Cartão Crédito,SP,São Paulo,Fernanda Lima,Online,20,5
157,2025-05-16,Vitor Gabriel Farias,M,54,Jaqueta Jeans,Casaco,P,Vermelho,2,96.48,Pix,MG,Belo Horizonte,Lucas Pires,Online,0,4
158,2025-05-22,Emilly Silveira,F,39,Short Jeans,Calça,40,Jeans,1,262.66,Cartão Débito,BA,Feira de Santana,Juliana Reis,Online,5,5
159,2025-05-08,Eduarda Freitas,M,45,Camiseta Básica,Blusa,G,Verde,3,218.5,Pix,RJ,Rio de Janeiro,Marcos Silva,Loja Física,20,4
160,2025-03-30,Theo Gomes,M,33,Bermuda Cargo,Calça,M,Branco,2,130.8,Pix,RJ,Rio de Janeiro,Marcos Silva,Online,10,4
161,2025-02-08,Isaac Lopes,M,37,Macacão Longo,Macacão,P,Verde,3,139.79,Cartão Débito,RJ,Rio de Janeiro,Juliana Reis,Online,0,5
162,2025-01-15,Ana Júlia Cunha,M,56,Calça Jeans Skinny,Calça,40,Amarelo,1,104.68,Dinheiro,RJ,Niterói,Juliana Reis,Online,5,5
163,2025-03-21,João Pedro da Costa,F,54,Vestido Floral,Vestido,P,Amarelo,1,181.28,Cartão Crédito,RS,Pelotas,Lucas Pires,Loja Física,10,5
164,2025-02-22,Bernardo Peixoto,M,23,Jaqueta Jeans,Casaco,P,Cinza,3,160.36,Pix,RJ,Petrópolis,Juliana Reis,Loja Física,20,4
165,2025-05-20,Dr. Kaique Caldeira,F,43,Short Jeans,Calça,38,Jeans,3,64.33,Dinheiro,BA,Vitória da Conquista,Lucas Pires,Loja Física,10,5
166,2025-02-11,Joana Aragão,F,36,Camiseta Básica,Blusa,GG,Cinza,3,65.84,Pix,SP,São Paulo,Fernanda Lima,Loja Física,15,5
167,2025-11-09,Isis Rocha,F,59,Camisa Social,Blusa,G,Vermelho,2,267.31,Dinheiro,BA,Feira de Santana,Lucas Pires,Loja Física,0,5
